Boroughs,Population
BARKING AND DAGENHAM,218714
BARNET,388955
BEXLEY,246637
BRENT,339248
BROMLEY,329899
CAMDEN,210968
CITY OF LONDON,8689
CROYDON,390691
EALING,366762
ENFIELD,329876
GREENWICH,289537
HACKNEY,260082
HAMMERSMITH AND FULHAM,183310
HARINGEY,264317
HARROW,261159
HAVERING,262086
HILLINGDON,305107
HOUNSLOW,288164
ISLINGTON,217050
KENSINGTON AND CHELSEA,144266
KINGSTON UPON THAMES,167992
LAMBETH,317691
LEWISHAM,300013
MERTON,215426
NEWHAM,351256
REDBRIDGE,31010
RICHMOND UPON THAMES,195315
SOUTHWARK,306762
SUTTON,209617
TOWER HAMLETS,312715
WALTHAM FOREST,278147
WANDSWORTH,328429
WESTMINSTER,211365
